"filename", "language", "C++", "Makefile", "comment", "blank", "total"
"/home/xuananle/Documents/Chicken-Invaders-Universe/AmmoObject.cpp", "C++", 94, 0, 6, 7, 107
"/home/xuananle/Documents/Chicken-Invaders-Universe/AmmoObject.h", "C++", 80, 0, 23, 18, 121
"/home/xuananle/Documents/Chicken-Invaders-Universe/Asteroid.cpp", "C++", 90, 0, 1, 0, 91
"/home/xuananle/Documents/Chicken-Invaders-Universe/Asteroid.h", "C++", 48, 0, 3, 1, 52
"/home/xuananle/Documents/Chicken-Invaders-Universe/BackGround.cpp", "C++", 40, 0, 2, 2, 44
"/home/xuananle/Documents/Chicken-Invaders-Universe/BackGround.h", "C++", 22, 0, 1, 2, 25
"/home/xuananle/Documents/Chicken-Invaders-Universe/BaseObject.cpp", "C++", 80, 0, 5, 1, 86
"/home/xuananle/Documents/Chicken-Invaders-Universe/BaseObject.h", "C++", 26, 0, 6, 5, 37
"/home/xuananle/Documents/Chicken-Invaders-Universe/Boss.cpp", "C++", 162, 0, 9, 17, 188
"/home/xuananle/Documents/Chicken-Invaders-Universe/Boss.h", "C++", 121, 0, 2, 9, 132
"/home/xuananle/Documents/Chicken-Invaders-Universe/Chicken.cpp", "C++", 346, 0, 23, 29, 398
"/home/xuananle/Documents/Chicken-Invaders-Universe/Chicken.h", "C++", 105, 0, 18, 32, 155
"/home/xuananle/Documents/Chicken-Invaders-Universe/CommonVariable.cpp", "C++", 49, 0, 0, 10, 59
"/home/xuananle/Documents/Chicken-Invaders-Universe/CommonVariable.h", "C++", 31, 0, 0, 3, 34
"/home/xuananle/Documents/Chicken-Invaders-Universe/Egg.cpp", "C++", 109, 0, 6, 3, 118
"/home/xuananle/Documents/Chicken-Invaders-Universe/Egg.h", "C++", 40, 0, 8, 9, 57
"/home/xuananle/Documents/Chicken-Invaders-Universe/MainObject.cpp", "C++", 503, 0, 20, 48, 571
"/home/xuananle/Documents/Chicken-Invaders-Universe/MainObject.h", "C++", 91, 0, 13, 23, 127
"/home/xuananle/Documents/Chicken-Invaders-Universe/Makefile", "Makefile", 0, 2, 0, 0, 2
"/home/xuananle/Documents/Chicken-Invaders-Universe/Present.h", "C++", 88, 0, 2, 3, 93
"/home/xuananle/Documents/Chicken-Invaders-Universe/ThemePlayer.cpp", "C++", 41, 0, 6, 2, 49
"/home/xuananle/Documents/Chicken-Invaders-Universe/ThemePlayer.h", "C++", 17, 0, 4, 0, 21
"/home/xuananle/Documents/Chicken-Invaders-Universe/explosion.cpp", "C++", 78, 0, 0, 0, 78
"/home/xuananle/Documents/Chicken-Invaders-Universe/explosion.h", "C++", 30, 0, 0, 1, 31
"/home/xuananle/Documents/Chicken-Invaders-Universe/main.cpp", "C++", 587, 0, 16, 65, 668
"/home/xuananle/Documents/Chicken-Invaders-Universe/menu.cpp", "C++", 214, 0, 1, 20, 235
"/home/xuananle/Documents/Chicken-Invaders-Universe/menu.h", "C++", 53, 0, 0, 2, 55
"/home/xuananle/Documents/Chicken-Invaders-Universe/user.cpp", "C++", 0, 0, 0, 1, 1
"/home/xuananle/Documents/Chicken-Invaders-Universe/user.h", "C++", 15, 0, 0, 0, 15
"Total", "-", 3160, 2, 175, 313, 3650
